100,35,,40,,45,,50,
5,100,13.77410468,85,15.97744361,82.45,14.41433566,80.801,12.52728682
7,89,16.33027523,77.43,10.44939271,72.7842,10.38291013,67.689306,8.989283665
11,78.32,15.50891089,72.0544,11.2585,64.84896,9.384798842,62.2550016,7.890367757
19,68.9216,9.276123822,64.097088,9.091785532,58.96932096,7.678297,52.48269565,6.728550725
,,,,,,,,
,,,,,,,,
80,35,,40,,45,,50,
5,80,11.11111111,70.4,13.20825516,68.992,10.9164557,67.61216,9.224032742
7,72.8,13.14079422,61.88,9.222056632,59.4048,8.609391304,55.246464,8.473384049
11,64.792,11.38699473,55.0732,7.422264151,46.81222,9.089751456,42.130998,5.558179156
19,60.90448,8.21922807,56.6411664,10.7887936,48.7114031,6.968727197,47.73717504,8.775216
,,,,,,,,
,,,,,,,,
50,35,,40,,45,,50,
5,50,6.877579092,45.5,6.770833333,43.68,8.564705882,42.8064,6.525365854
7,45,6.598240469,42.3,7.473498233,40.185,5.823913043,34.15725,4.893588825
11,43.2,8.074766355,40.608,7.962352941,38.5776,6.303529412,35.491392,5.329037838
19,38.88,7.49132948,38.1024,5.013473684,36.19728,6.86855408,34.7493888,5.18647594
,,,,,,,,
,,,,,,,,
35,35,,40,,45,,50,
5,35,6.542056075,33.6,6.327683616,31.584,4.492745377,26.8464,4.8723049
7,31.15,5.503533569,28.035,5.497058824,23.82975,3.654869632,20.97018,3.698444444
11,29.5925,4.33272328,27.521025,5.504205,25.04413275,3.823531718,22.03883682,2.96220925
19,25.153625,3.192084391,24.6505525,3.457300491,21.6924862,2.903947282,19.08938786,3.010944457
,,,,,,,,
,,,,,,,,
20,35,,40,,45,,50,
5,20,2.557544757,19.4,2.549277267,17.072,2.979406632,15.87696,2.171950752
7,19.6,2.641509434,19.012,2.99873817,18.0614,3.583611111,16.797102,2.201455046
11,17.248,3.422222222,15.00576,2.509324415,14.7056448,2.753866067,12.64685453,2.001084577
19,16.90304,2.126168553,16.057888,2.924934062,14.4520992,1.904097391,12.86236829,1.925504235
