100,35,,40,,45,,50,
5,300,55.65862709,267,34.85639687,248.31,42.96020761,228.4452,30.29777188
7,267,45.79759863,253.65,36.39167862,246.0405,34.36319832,211.59483,26.98913648
11,229.62,32.80285714,208.9542,26.72048593,183.879696,23.12952151,180.2021021,23.46381538
19,215.8428,37.21427586,189.941664,24.01285259,180.4445808,31.43633812,175.0312434,27.26343355
,,,,,,,,
,,,,,,,,
80,35,,40,,45,,50,
5,240,38.83495146,235.2,29.84771574,209.328,37.58132855,196.76832,27.17794475
7,216,34.56,205.2,39.23518164,201.096,30.74862385,176.96448,24.24170959
11,200.88,27.07277628,184.8096,35.26900763,175.56912,23.16215303,168.5463552,29.62150355
19,176.7744,24.24888889,152.025984,23.42465085,129.2220864,23.19965645,122.7609821,15.53936482
,,,,,,,,
,,,,,,,,
50,35,,40,,45,,50,
5,150,20.97902098,145.5,25.52631579,132.405,17.21781534,115.19235,16.52687948
7,127.5,24.28571429,124.95,20.28409091,114.954,14.42333752,101.15952,17.03022222
11,121.125,21.51420959,109.0125,13.72953401,92.660625,13.40964182,85.247775,12.83852033
19,117.49125,15.140625,108.09195,18.16671429,104.8491915,17.07641555,99.60673193,19.84197847
,,,,,,,,
,,,,,,,,
35,35,,40,,45,,50,
5,105,17.88756388,91.35,18.05335968,83.1285,14.53295455,73.15308,9.912341463
7,96.6,13.68271955,91.77,14.25,80.7576,11.58645624,72.68184,12.93271174
11,85.008,13.49333333,73.10688,14.39111811,64.3340544,9.086730847,62.40403277,11.32559578
19,75.65712,10.56663687,67.3348368,11.11135921,57.23461128,10.04115987,53.8005346,7.729961868
,,,,,,,,
,,,,,,,,
20,35,,40,,45,,50,
5,60,10.61946903,55.2,10.53435115,47.472,6.648739496,46.52256,7.832080808
7,54.6,7.270306258,50.778,6.806702413,46.71576,9.018486486,44.379972,6.321933333
11,51.324,9.87,50.29752,7.518313901,46.2737184,6.601101056,40.25813501,5.181227157
19,45.67836,6.326642659,38.826606,5.218629839,35.72047752,4.926962417,34.29165842,6.201023222
